epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.11549,1.32259,3.72313,1.72621,0.00901,0.94765,0.09109,0.05173,1.45431,4.12904,2.13995,0.00011,0.00011,0.00011
2,5.85601,1.24749,3.37665,1.63676,0.01286,0.96312,0.10415,0.05059,1.53262,3.893,2.11084,0.00018446,0.00018446,0.00018446
3,7.5159,1.20762,3.06371,1.60015,0.00983,0.95738,0.08382,0.04089,1.63527,3.55319,2.19175,0.0002114,0.0002114,0.0002114
4,9.19505,1.21987,2.83495,1.61108,0.01118,0.94013,0.13391,0.07829,1.5699,3.35744,2.15443,0.00019082,0.00019082,0.00019082
5,10.8635,1.19423,2.71062,1.59127,0.35829,0.23012,0.17109,0.09408,1.48069,3.2067,2.07135,0.00012272,0.00012272,0.00012272
